t=2026-03-27T00:41:20-0400 lvl=info msg="no configuration paths supplied"
t=2026-03-27T00:41:20-0400 lvl=info msg="using configuration at default config path" path=/home/siqiouya/.config/ngrok/ngrok.yml
t=2026-03-27T00:41:20-0400 lvl=info msg="open config file" path=/home/siqiouya/.config/ngrok/ngrok.yml err=nil
t=2026-03-28T22:58:25-0400 lvl=info msg="join connections" obj=join id=350b550c0190 l=127.0.0.1:8199 r=3.228.45.243:10391
t=2026-03-28T22:58:54-0400 lvl=info msg="join connections" obj=join id=f82792086947 l=127.0.0.1:8199 r=3.228.45.243:62455
t=2026-03-28T22:58:57-0400 lvl=info msg="join connections" obj=join id=985f79d13fb2 l=127.0.0.1:8199 r=3.228.45.243:24493
t=2026-03-28T22:58:58-0400 lvl=info msg="join connections" obj=join id=2d980699b5a0 l=127.0.0.1:8199 r=3.228.45.243:48066
t=2026-03-28T22:58:59-0400 lvl=info msg="join connections" obj=join id=0fa93baf99d9 l=127.0.0.1:8199 r=3.228.45.243:18343
t=2026-03-28T22:59:00-0400 lvl=info msg="join connections" obj=join id=32eb165692f6 l=127.0.0.1:8199 r=3.228.45.243:7018
t=2026-03-28T22:59:01-0400 lvl=info msg="join connections" obj=join id=d7ffe06d9cde l=127.0.0.1:8199 r=3.228.45.243:7718
t=2026-03-28T22:59:02-0400 lvl=info msg="join connections" obj=join id=fa5c9163c6e3 l=127.0.0.1:8199 r=3.228.45.243:9687
t=2026-03-28T22:59:03-0400 lvl=info msg="join connections" obj=join id=1d2f05689ab0 l=127.0.0.1:8199 r=3.228.45.243:49388
t=2026-03-28T22:59:04-0400 lvl=info msg="join connections" obj=join id=98f2d94b0dd7 l=127.0.0.1:8199 r=3.228.45.243:23914
t=2026-03-28T22:59:28-0400 lvl=info msg="join connections" obj=join id=6ca7d16c1364 l=127.0.0.1:8199 r=3.228.45.243:14783
t=2026-03-28T22:59:59-0400 lvl=info msg="join connections" obj=join id=d16475ce9f91 l=127.0.0.1:8199 r=3.228.45.243:29071
t=2026-03-28T23:00:02-0400 lvl=info msg="join connections" obj=join id=e48c8326a365 l=127.0.0.1:8199 r=3.228.45.243:2196
t=2026-03-28T23:00:02-0400 lvl=info msg="join connections" obj=join id=02586ad386e9 l=127.0.0.1:8199 r=3.228.45.243:38682
t=2026-03-28T23:00:03-0400 lvl=info msg="join connections" obj=join id=5b63eca5c487 l=127.0.0.1:8199 r=3.228.45.243:24095
t=2026-03-28T23:00:04-0400 lvl=info msg="join connections" obj=join id=750268be0ca1 l=127.0.0.1:8199 r=3.228.45.243:60073
t=2026-03-28T23:00:05-0400 lvl=info msg="join connections" obj=join id=65da284c0a02 l=127.0.0.1:8199 r=3.228.45.243:37502
t=2026-03-28T23:00:06-0400 lvl=info msg="join connections" obj=join id=a811ada4b51e l=127.0.0.1:8199 r=3.228.45.243:30160
t=2026-03-28T23:00:06-0400 lvl=info msg="join connections" obj=join id=6f5ad441f9fc l=127.0.0.1:8199 r=3.228.45.243:57765
t=2026-03-28T23:00:08-0400 lvl=info msg="join connections" obj=join id=279069f9e81b l=127.0.0.1:8199 r=3.228.45.243:45294
t=2026-03-28T23:00:11-0400 lvl=info msg="join connections" obj=join id=76d576edbd44 l=127.0.0.1:8199 r=3.228.45.243:39115
t=2026-03-28T23:00:13-0400 lvl=info msg="join connections" obj=join id=6052117fcd89 l=127.0.0.1:8199 r=3.228.45.243:12059
t=2026-03-28T23:00:14-0400 lvl=info msg="join connections" obj=join id=a3c4a5be752f l=127.0.0.1:8199 r=3.228.45.243:21561
t=2026-03-28T23:00:14-0400 lvl=info msg="join connections" obj=join id=42a012ef72f2 l=127.0.0.1:8199 r=3.228.45.243:57288
t=2026-03-28T23:00:15-0400 lvl=info msg="join connections" obj=join id=7a350e028b21 l=127.0.0.1:8199 r=3.228.45.243:60708
t=2026-03-28T23:00:15-0400 lvl=info msg="join connections" obj=join id=79efd260122e l=127.0.0.1:8199 r=3.228.45.243:34324
t=2026-03-28T23:00:16-0400 lvl=info msg="join connections" obj=join id=c58181a9ac62 l=127.0.0.1:8199 r=3.228.45.243:26262
t=2026-03-28T23:00:16-0400 lvl=info msg="join connections" obj=join id=20c3ed4dfca1 l=127.0.0.1:8199 r=3.228.45.243:1026
t=2026-03-28T23:00:17-0400 lvl=info msg="join connections" obj=join id=384fe4f9964d l=127.0.0.1:8199 r=3.228.45.243:34702
t=2026-03-28T23:00:18-0400 lvl=info msg="join connections" obj=join id=7959bd71c607 l=127.0.0.1:8199 r=3.228.45.243:44384
t=2026-03-28T23:00:19-0400 lvl=info msg="join connections" obj=join id=d136ec013c55 l=127.0.0.1:8199 r=3.228.45.243:36321
t=2026-03-28T23:00:20-0400 lvl=info msg="join connections" obj=join id=a427471d1024 l=127.0.0.1:8199 r=3.228.45.243:49432
t=2026-03-28T23:00:21-0400 lvl=info msg="join connections" obj=join id=da52538d40f2 l=127.0.0.1:8199 r=3.228.45.243:50380
t=2026-03-28T23:00:23-0400 lvl=info msg="join connections" obj=join id=60dc26db87f2 l=127.0.0.1:8199 r=3.228.45.243:50211
t=2026-03-28T23:00:24-0400 lvl=info msg="join connections" obj=join id=b72b541d9284 l=127.0.0.1:8199 r=3.228.45.243:62582
t=2026-03-28T23:00:25-0400 lvl=info msg="join connections" obj=join id=d495ff28e887 l=127.0.0.1:8199 r=3.228.45.243:63174
t=2026-03-28T23:00:26-0400 lvl=info msg="join connections" obj=join id=e00adbbfcd6a l=127.0.0.1:8199 r=3.228.45.243:56507
t=2026-03-28T23:00:27-0400 lvl=info msg="join connections" obj=join id=63242d390440 l=127.0.0.1:8199 r=3.228.45.243:17297
t=2026-03-28T23:00:28-0400 lvl=info msg="join connections" obj=join id=3ba9ef7619bc l=127.0.0.1:8199 r=3.228.45.243:36641
t=2026-03-28T23:00:29-0400 lvl=info msg="join connections" obj=join id=4578dac56a49 l=127.0.0.1:8199 r=3.228.45.243:22737
t=2026-03-28T23:00:30-0400 lvl=info msg="join connections" obj=join id=bd61a7b84bdd l=127.0.0.1:8199 r=3.228.45.243:20441
t=2026-03-28T23:00:31-0400 lvl=info msg="join connections" obj=join id=f5a3242f82c0 l=127.0.0.1:8199 r=3.228.45.243:29603
t=2026-03-28T23:00:31-0400 lvl=info msg="join connections" obj=join id=7cfb92be8200 l=127.0.0.1:8199 r=3.228.45.243:10531
t=2026-03-28T23:00:32-0400 lvl=info msg="join connections" obj=join id=676a37460f34 l=127.0.0.1:8199 r=3.228.45.243:39435
t=2026-03-28T23:00:34-0400 lvl=info msg="join connections" obj=join id=8b6015807e22 l=127.0.0.1:8199 r=3.228.45.243:10644
t=2026-03-28T23:00:35-0400 lvl=info msg="join connections" obj=join id=7398359192cf l=127.0.0.1:8199 r=3.228.45.243:55640
t=2026-03-28T23:00:35-0400 lvl=info msg="join connections" obj=join id=739f886b07d8 l=127.0.0.1:8199 r=3.228.45.243:38600
t=2026-03-28T23:00:36-0400 lvl=info msg="join connections" obj=join id=0ed9c6328ab2 l=127.0.0.1:8199 r=3.228.45.243:33021
t=2026-03-28T23:00:40-0400 lvl=info msg="join connections" obj=join id=4e98f6bc3bb9 l=127.0.0.1:8199 r=3.228.45.243:50083
t=2026-03-28T23:00:43-0400 lvl=info msg="join connections" obj=join id=648b99e5fb7b l=127.0.0.1:8199 r=3.228.45.243:63931
t=2026-03-28T23:00:44-0400 lvl=info msg="join connections" obj=join id=e65f790fe060 l=127.0.0.1:8199 r=3.228.45.243:32653
t=2026-03-28T23:00:44-0400 lvl=info msg="join connections" obj=join id=062505989080 l=127.0.0.1:8199 r=3.228.45.243:31102
t=2026-03-28T23:00:45-0400 lvl=info msg="join connections" obj=join id=4e448b32f9d3 l=127.0.0.1:8199 r=3.228.45.243:6214
t=2026-03-28T23:00:46-0400 lvl=info msg="join connections" obj=join id=59cdc1d8e2c8 l=127.0.0.1:8199 r=3.228.45.243:40150
t=2026-03-28T23:00:46-0400 lvl=info msg="join connections" obj=join id=2b402fc35f8d l=127.0.0.1:8199 r=3.228.45.243:13913
t=2026-03-28T23:00:47-0400 lvl=info msg="join connections" obj=join id=e44013a40eb4 l=127.0.0.1:8199 r=3.228.45.243:20121
t=2026-03-28T23:00:48-0400 lvl=info msg="join connections" obj=join id=5c1e66042a2a l=127.0.0.1:8199 r=3.228.45.243:61919
t=2026-03-28T23:00:49-0400 lvl=info msg="join connections" obj=join id=4f6cc32c9651 l=127.0.0.1:8199 r=3.228.45.243:31243
t=2026-03-28T23:00:50-0400 lvl=info msg="join connections" obj=join id=c8f065e93e76 l=127.0.0.1:8199 r=3.228.45.243:37477
t=2026-03-28T23:00:53-0400 lvl=info msg="join connections" obj=join id=06541d513782 l=127.0.0.1:8199 r=3.228.45.243:1831
t=2026-03-28T23:00:56-0400 lvl=info msg="join connections" obj=join id=ce15977f1318 l=127.0.0.1:8199 r=3.228.45.243:41881
t=2026-03-28T23:00:57-0400 lvl=info msg="join connections" obj=join id=88c90fc7a185 l=127.0.0.1:8199 r=3.228.45.243:42052
t=2026-03-28T23:00:57-0400 lvl=info msg="join connections" obj=join id=68b63c729c57 l=127.0.0.1:8199 r=3.228.45.243:11295
t=2026-03-28T23:00:58-0400 lvl=info msg="join connections" obj=join id=900a7e0c7154 l=127.0.0.1:8199 r=3.228.45.243:8030
t=2026-03-28T23:00:59-0400 lvl=info msg="join connections" obj=join id=1152840f8e1e l=127.0.0.1:8199 r=3.228.45.243:18900
t=2026-03-28T23:01:00-0400 lvl=info msg="join connections" obj=join id=c2dcf442163d l=127.0.0.1:8199 r=3.228.45.243:8984
t=2026-03-28T23:01:01-0400 lvl=info msg="join connections" obj=join id=af358e638f4c l=127.0.0.1:8199 r=3.228.45.243:13939
t=2026-03-28T23:01:01-0400 lvl=info msg="join connections" obj=join id=0c0bd7107ace l=127.0.0.1:8199 r=3.228.45.243:52192
t=2026-03-28T23:01:02-0400 lvl=info msg="join connections" obj=join id=82ae25868f92 l=127.0.0.1:8199 r=3.228.45.243:26050
t=2026-03-28T23:01:03-0400 lvl=info msg="join connections" obj=join id=198a80781328 l=127.0.0.1:8199 r=3.228.45.243:38164
t=2026-03-28T23:01:04-0400 lvl=info msg="join connections" obj=join id=b3215ed97909 l=127.0.0.1:8199 r=3.228.45.243:38335
t=2026-03-28T23:01:05-0400 lvl=info msg="join connections" obj=join id=6b2055d58d5d l=127.0.0.1:8199 r=3.228.45.243:32150
t=2026-03-28T23:01:06-0400 lvl=info msg="join connections" obj=join id=1846157db452 l=127.0.0.1:8199 r=3.228.45.243:3247
t=2026-03-28T23:01:07-0400 lvl=info msg="join connections" obj=join id=7a3302fa3a41 l=127.0.0.1:8199 r=3.228.45.243:29985
t=2026-03-28T23:01:08-0400 lvl=info msg="join connections" obj=join id=f7e3fe00d361 l=127.0.0.1:8199 r=3.228.45.243:61386
